MeterNo,the_geom,MeterType,LONG,LAT,Status
1243023,POINT (-73.99666469638579 40.71873304184323),Strada,-73.9966647,40.71873304,Inactive
1443376,POINT (-73.98683453360891 40.74686035245345),Strada,-73.98683453,40.74686035,Active
2131698,POINT (-73.8877317123254 40.854254860484986),Strada,-73.88773171,40.85425486,Inactive
1433169,POINT (-73.97332307217509 40.75439796246525),Strada,-73.97332307,40.75439796,Inactive
1433120,POINT (-73.97871103434075 40.76320861687492),Strada,-73.97871103,40.76320862,Inactive
4053001,POINT (-73.84129821919839 40.71948154782128),Strada,-73.84129822,40.71948155,Active
2253190,POINT (-73.89671469587077 40.8681688424211),Strada,-73.8967147,40.86816884,Inactive
1074872,POINT (-73.96301863583487 40.76570588960996),Strada,-73.96301864,40.76570589,Active
4053020,POINT (-73.84537324336983 40.7204362082116),Strada,-73.84537324,40.72043621,Active
3523015,POINT (-73.96248909562283 40.67249999285798),Strada,-73.9624891,40.67249999,Retired
3071409,POINT (-73.99610573795587 40.592881897375406),Strada,-73.99610574,40.5928819,Inactive
1443988,POINT (-73.98409109892556 40.753098257799444),Strada,-73.9840911,40.75309826,Inactive
3033052,POINT (-73.91104150340256 40.67056356696969),Strada,-73.9110415,40.67056357,Active
1433193,POINT (-73.97383493505401 40.755526162747785),Strada,-73.97383494,40.75552616,Active
3103018,POINT (-73.98795284244649 40.62122454364073),Strada,-73.98795284,40.62122454,Active
1409946,POINT (-73.98581456810884 40.76758330696093),Strada,-73.98581457,40.76758331,Inactive
3513015,POINT (-73.98606903788809 40.616414480207),Strada,-73.98606904,40.61641448,Active
1243048,POINT (-73.9978907236036 40.72100593129305),Strada,-73.99789072,40.72100593,Active
3063170,POINT (-73.9437190882254 40.60004128591485),Strada,-73.94371909,40.60004129,Active
1443072,POINT (-73.98382669621435 40.75067393075899),Strada,-73.9838267,40.75067393,Inactive
3013011,POINT (-73.98585778363847 40.68723695582654),Strada,-73.98585778,40.68723696,Active
3051340,POINT (-73.9581388049053 40.610372169804876),Strada,-73.9581388,40.61037217,Active
1433015,POINT (-73.97916114587116 40.75777397187563),Strada,-73.97916115,40.75777397,Inactive
3013687,POINT (-73.98959348461746 40.70208083475679),Strada,-73.98959348,40.70208083,Active
3013013,POINT (-73.98433943232466 40.68664666076315),Strada,-73.98433943,40.68664666,Active
3051348,POINT (-73.96228287679651 40.608850236264715),Strada,-73.96228288,40.60885024,Active
3033042,POINT (-73.90695855689461 40.669692785773506),Strada,-73.90695856,40.66969279,Active
4063006,POINT (-73.83346879045833 40.759278591527185),Strada,-73.83346879,40.75927859,Active
3513009,POINT (-73.98611016038885 40.61618500996804),Strada,-73.98611016,40.61618501,Active
1143004,POINT (-73.99507834707576 40.731654238573746),Strada,-73.99507835,40.73165424,Active
1433016,POINT (-73.97864007432166 40.757555618340106),Strada,-73.97864007,40.75755562,Inactive
3393009,POINT (-73.94253195050108 40.6664796935716),Strada,-73.94253195,40.66647969,Active
3393016,POINT (-73.94200839430972 40.67073019668446),Strada,-73.94200839,40.6707302,Active
1443585,POINT (-73.98540473137479 40.73987858221079),Strada,-73.98540473,40.73987858,Active
4053002,POINT (-73.841502854559 40.71915431736841),Strada,-73.84150285,40.71915432,Active
3473003,POINT (-73.95487013206255 40.733351771666854),Strada,-73.95487013,40.73335177,Active
3051347,POINT (-73.96238658705185 40.60939355759638),Strada,-73.96238659,40.60939356,Active
3033041,POINT (-73.90675189496908 40.66968211303219),Strada,-73.9067519,40.66968211,Active
3013014,POINT (-73.98317774173039 40.68619502788924),Strada,-73.98317774,40.68619503,Active
3013611,POINT (-73.99069794813163 40.690715507876114),Strada,-73.99069795,40.69071551,Inactive
1443097,POINT (-73.99226457927465 40.755842780796634),Strada,-73.99226458,40.75584278,Inactive
2103020,POINT (-73.89339306692504 40.860040384946835),Strada,-73.89339307,40.86004038,Inactive
2023001,POINT (-73.91571693071937 40.817334627282186),Strada,-73.91571693,40.81733463,Active
4053011,POINT (-73.84582001817763 40.720818888807464),Strada,-73.84582002,40.72081889,Active
1443545,POINT (-73.98515660106487 40.74130171205109),Strada,-73.9851566,40.74130171,Active
3013568,POINT (-73.9955700059683 40.695097468293895),Strada,-73.99557001,40.69509747,Inactive
5053001,POINT (-74.0849733972674 40.58308200464073),Strada,-74.0849734,40.583082,Active
4063007,POINT (-73.83394610908064 40.7591269814962),Strada,-73.83394611,40.75912698,Active
2131697,POINT (-73.8888462453013 40.856162155213234),Strada,-73.88884625,40.85616216,Inactive
3213028,POINT (-73.93092757946688 40.67010125748266),Strada,-73.93092758,40.67010126,Active
1413024,POINT (-74.00138188305033 40.73690265346561),Strada,-74.00138188,40.73690265,Active
1263067,POINT (-73.94257904723533 40.79025600543524),Strada,-73.94257905,40.79025601,Active
4333144,POINT (-73.73485036434552 40.77124870444309),Strada,-73.73485036,40.7712487,Active
4153008,POINT (-73.93290960698138 40.74354691861899),Strada,-73.93290961,40.74354692,Active
3283073,POINT (-73.9552950892556 40.70744808826875),Strada,-73.95529509,40.70744809,Active
2043036,POINT (-73.90756850351367 40.83618102771651),Strada,-73.9075685,40.83618103,Active
3149859,POINT (-73.98951527533114 40.66358876299035),Strada,-73.98951528,40.66358876,Active
3149847,POINT (-73.99023286772041 40.66458976416987),Strada,-73.99023287,40.66458976,Active
3123038,POINT (-74.01220008459283 40.64629552158541),Strada,-74.01220008,40.64629552,Active
4043061,POINT (-73.82903104611958 40.71331154349593),Strada,-73.82903105,40.71331154,Active
4152118,POINT (-73.94983467604311 40.74390191235541),Strada,-73.94983468,40.74390191,Active
1074863,POINT (-73.96458571277532 40.76448667983068),Strada,-73.96458571,40.76448668,Active
1294842,POINT (-73.94823849383272 40.77423550800927),Strada,-73.94823849,40.77423551,Active
2033018,POINT (-73.89175816148143 40.821408332037166),Strada,-73.89175816,40.82140833,Active
2043007,POINT (-73.91572974987095 40.83977720493775),Strada,-73.91572975,40.8397772,Active
2043018,POINT (-73.91642247602768 40.83966463578298),Strada,-73.91642248,40.83966464,Active
2203012,POINT (-73.8815590416675 40.828486850259786),Strada,-73.88155904,40.82848685,Active
2203026,POINT (-73.87463673626672 40.8298727710553),Strada,-73.87463674,40.82987277,Active
2293015,POINT (-73.83819750404727 40.88007144282254),Strada,-73.8381975,40.88007144,Active
2293021,POINT (-73.83122089263242 40.88840668778707),Strada,-73.83122089,40.88840669,Active
2293049,POINT (-73.82977057361089 40.876626783651886),Strada,-73.82977057,40.87662678,Active
2313002,POINT (-73.82876336134179 40.852069089923134),Strada,-73.82876336,40.85206909,Active
2313025,POINT (-73.83249258880707 40.84719562617475),Strada,-73.83249259,40.84719563,Active
2313016,POINT (-73.83030424684348 40.851594489992316),Strada,-73.83030425,40.85159449,Active
3013532,POINT (-73.99161855279064 40.69586604839291),Strada,-73.99161855,40.69586605,Inactive
3013537,POINT (-73.98622065985518 40.69593350840017),Strada,-73.98622066,40.69593351,Inactive
3013602,POINT (-73.98339433778463 40.68786786327544),Strada,-73.98339434,40.68786786,Inactive
3013675,POINT (-73.9813960194402 40.68945093207431),Strada,-73.98139602,40.68945093,Active
3013607,POINT (-73.98521834415148 40.688731561225765),Strada,-73.98521834,40.68873156,Active
3013617,POINT (-73.98120209913394 40.691961960818986),Strada,-73.9812021,40.69196196,Active
3013682,POINT (-73.98983566740036 40.70249002645963),Strada,-73.98983567,40.70249003,Active
3029361,POINT (-73.9821974986996 40.67422478370572),Strada,-73.9821975,40.67422478,Active
3033022,POINT (-73.91587796105962 40.66886191526211),Strada,-73.91587796,40.66886192,Active
3043001,POINT (-73.96193542637225 40.66224930817225),Strada,-73.96193543,40.66224931,Active
3043048,POINT (-73.95426084098688 40.6389754211818),Strada,-73.95426084,40.63897542,Retired
3043132,POINT (-73.94347336439006 40.63197143193196),Strada,-73.94347336,40.63197143,Active
3043147,POINT (-73.94725426102954 40.628369232748774),Strada,-73.94725426,40.62836923,Active
3043009,POINT (-73.96041641360873 40.65755226828455),Strada,-73.96041641,40.65755227,Active
3043159,POINT (-73.94538489459666 40.61842503534116),Strada,-73.94538489,40.61842504,Active
3043196,POINT (-73.94861755211033 40.64266329840067),Strada,-73.94861755,40.6426633,Active
3063006,POINT (-73.96130047410371 40.59811285561815),Strada,-73.96130047,40.59811286,Inactive
3063016,POINT (-73.96081901829518 40.59019443538732),Strada,-73.96081902,40.59019444,Active
